country,date,confirmed,deaths,recovered
Afghanistan,2020-4-3,281,6,10
Albania,2020-4-3,304,17,89
Algeria,2020-4-3,1171,105,62
Andorra,2020-4-3,439,16,16
Angola,2020-4-3,8,2,1
Antigua and Barbuda,2020-4-3,15,0,0
Argentina,2020-4-3,1265,39,266
Armenia,2020-4-3,736,7,43
Australia,2020-4-3,5330,28,649
Austria,2020-4-3,11524,168,2022
Azerbaijan,2020-4-3,443,5,32
Bahamas,2020-4-3,24,1,1
Bahrain,2020-4-3,672,4,382
Bangladesh,2020-4-3,61,6,26
Barbados,2020-4-3,51,0,0
Belarus,2020-4-3,351,4,53
Belgium,2020-4-3,16770,1143,2872
Benin,2020-4-3,16,0,2
Bhutan,2020-4-3,5,0,2
Bolivia,2020-4-3,132,9,1
Bosnia and Herzegovina,2020-4-3,579,17,27
Brazil,2020-4-3,9056,359,127
Brunei,2020-4-3,134,1,65
Bulgaria,2020-4-3,485,14,30
Burkina Faso,2020-4-3,302,16,50
Cabo Verde,2020-4-3,6,1,0
Cambodia,2020-4-3,114,0,35
Cameroon,2020-4-3,509,8,17
Canada,2020-4-3,12437,179,2175
Central African Republic,2020-4-3,8,0,0
Chad,2020-4-3,8,0,0
Chile,2020-4-3,3737,22,427
China,2020-4-3,82511,3326,76760
Colombia,2020-4-3,1267,25,55
Congo (Brazzaville),2020-4-3,22,2,2
Congo (Kinshasa),2020-4-3,134,13,3
Costa Rica,2020-4-3,416,2,11
Cote d'Ivoire,2020-4-3,218,1,19
Croatia,2020-4-3,1079,8,92
Diamond Princess,2020-4-3,712,11,619
Cuba,2020-4-3,269,6,15
Cyprus,2020-4-3,396,11,28
Czechia,2020-4-3,4091,53,72
Denmark,2020-4-3,3946,139,1287
Djibouti,2020-4-3,49,0,8
Dominican Republic,2020-4-3,1488,68,16
Ecuador,2020-4-3,3368,145,65
Egypt,2020-4-3,985,66,216
El Salvador,2020-4-3,46,2,0
Equatorial Guinea,2020-4-3,16,0,1
Eritrea,2020-4-3,22,0,0
Estonia,2020-4-3,961,12,48
Eswatini,2020-4-3,9,0,0
Ethiopia,2020-4-3,35,0,3
Fiji,2020-4-3,7,0,0
Finland,2020-4-3,1615,20,300
France,2020-4-3,65202,6520,14135
Gabon,2020-4-3,21,1,1
Gambia,2020-4-3,4,1,2
Georgia,2020-4-3,155,0,28
Germany,2020-4-3,91159,1275,24575
Ghana,2020-4-3,205,5,31
Greece,2020-4-3,1613,63,78
Guatemala,2020-4-3,50,1,12
Guinea,2020-4-3,73,0,2
Guyana,2020-4-3,23,4,0
Haiti,2020-4-3,18,0,1
Holy See,2020-4-3,7,0,0
Honduras,2020-4-3,222,15,3
Hungary,2020-4-3,623,26,43
Iceland,2020-4-3,1364,4,309
India,2020-4-3,2567,72,192
Indonesia,2020-4-3,1986,181,134
Iran,2020-4-3,53183,3294,17935
Iraq,2020-4-3,820,54,226
Ireland,2020-4-3,4273,120,5
